Car_ID,BrandName,Type,Transmission,LuggageSize,SeatNumber,ReleaseYear,Total_Rent_January,Total_Rent_February,Total_Rent_March,Total_Rent_April,Total_Rent_May,Total_Rent_June,Total_Rent_July,Total_Rent_August,Total_Rent_September,Total_Rent_October,Total_Rent_November,Total_Rent_December
14852,BMW,3D HATCHBACK,5AS,1,5,2002,6,3,43,2,6,5,4,3,34,6,4,2
14853,BMW,5D HATCHBACK,6A,1,5,2005,7,4,,3,4,5,3,32,5,23,5,3
14854,BMW,4D SEDAN,5M,6,5,1989,8,5,3,5,3,5,3,2,5,3,,5
14855,BMW,2D COUPE,5AS,7,5,2001,5,5,4,5,3,5,4,3,4,4,2,56
14856,BMW,4D SEDAN,4A,4,5,1988,3,6,5,6,,5,55,3,3,4,2,3
14857,BMW,4D SEDAN,5M,2,5,2005,4,6,6,6,2,,6,3,3,5,22,3
14858,BMW,4D SEDAN,5A,1,5,1996,8,6,,4,3,3,6,3,33,3,,23
14859,BMW,4D SEDAN,5AS,8,5,1997,7,7,7,3,3,3,7,4,3,3,2,12
14860,BMW,4D SEDAN,4A,3,5,1997,4,4,5,2,4,3,7,4,23,2,2,36
14861,BMW,4D SEDAN,5M,3,5,1997,5,3,4,2,4,3,77,5,34,3,2,3
14862,BMW,4D SEDAN,5M,1,5,2001,3,4,3,44,5,3,5,56,,4,4,3
14863,BMW,4D WAGON,5AS,5,5,2001,4,4,2,,5,3,,6,2,3,5,21
14864,BMW,5D HATCHBACK,6A,5,5,2006,3,4,4,5,34,4,,76,4,4,6,2
14865,BMW,4D SEDAN,5M,1,5,2000,3,4,4,,,4,,,5,,7,3
14866,BMW,4D WAGON,5AS,1,5,2006,4,4,3,6,3,5,,,3,,4,4
14867,BMW,4D SEDAN,5M,8,5,1995,4,4,32,4,3,6,,,,,3,5
14870,BMW,2D COUPE,5M,5,5,1999,3,4,3,4,3,7,,,,,2,6
14871,BMW,4D WAGON,6A,8,5,2006,3,4,4,4,3,,,,,,2,
14872,BMW,4D SEDAN,5M,8,5,1999,3,4,5,,3,,,,,,2,
14873,BMW,2D COUPE,4A,6,5,1996,4,4,5,,,,,,,,,
14874,BMW,3D HATCHBACK,5M,1,5,2004,4,4,6,,,,,,,,,
14875,BMW,2D SEDAN,5M,6,5,1989,4,0,6,,,,,,,,,
14876,BMW,4D SEDAN,5M,7,5,1994,5,4,,,,,,,,,,
14877,BMW,4D SEDAN,6AS,8,5,2006,5,4,,,,,,,,,,
14878,BMW,4D SEDAN,5AS,1,5,1996,5,4,,,,,,,,,,
14879,BMW,4D SEDAN,5AS,6,5,2002,5,4,,,,,,,,,,
14880,BMW,4D SEDAN,5A,2,5,1991,5,4,,,,,,,,,,
14881,BMW,4D SEDAN,4A,5,5,1991,5,44,,,,,,,,,,
14882,BMW,4D SEDAN,5M,3,5,2000,5,4,,,,,,,,,,
14883,BMW,4D SEDAN,5M,8,5,1986,5,56,,,,,,,,,,
14884,BMW,2D COUPE,5M,4,5,1998,5,4,,,,,,,,,,
14885,BMW,4D SEDAN,4A,6,5,1988,6,4,,,,,,,,,,
14887,BMW,4D SEDAN,5M,4,5,1991,6,4,,,,,,,,,,
14888,BMW,2D COUPE,5AS,3,5,2002,6,4,,,,,,,,,,
14889,BMW,3D HATCHBACK,5M,2,5,2005,6,40,,,,,,,,,,
14890,BMW,4D WAGON,6A,8,5,2005,6,4,,,,,,,,,,
14891,DATSUN,2D ROADSTER,4M,7,0,1964,6,4,,,,,,,,,,
14895,DATSUN,2D HARDTOP,5M,8,5,1977,5,4,,,,,,,,,,
14896,MAZDA,5D HATCHBACK,5M,8,5,2001,43,4,,,,,,,,,,
14897,MAZDA,4D SEDAN,5M,4,5,1997,3,4,,,,,,,,,,
14899,MAZDA,5D HATCHBACK,5M,1,5,2002,4,35,,,,,,,,,,
14900,MAZDA,3D HATCHBACK,5M,8,5,1987,5,32,,,,,,,,,,
14901,MAZDA,5D HATCHBACK,4A,1,5,1999,3,3,,,,,,,,,,
14902,VOLKSWAGEN,VAN,6ATip,2,5,2008,2,2,,,,,,,,,,
14903,VOLKSWAGEN,4D SEDAN,6M,4,5,2006,3,0,,,,,,,,,,
14904,VOLKSWAGEN,VAN,6ATip,4,2,2005,4,4,,,,,,,,,,
14905,VOLKSWAGEN,3D HATCHBACK,5M,2,5,2007,5,2,,,,,,,,,,
14906,VOLKSWAGEN,4D SEDAN,6ADSG,7,5,2006,6,2,,,,,,,,,,
14907,VOLKSWAGEN,4D VAN,6ATip,3,7,2006,7,3,,,,,,,,,,
14908,VOLKSWAGEN,4D SEDAN,6ADSG,1,5,2007,8,4,,,,,,,,,,
14909,VOLKSWAGEN,5D HATCHBACK,6M,8,5,2007,5,5,,,,,,,,,,
14910,VOLKSWAGEN,5D HATCHBACK,5M,5,5,2001,4,4,,,,,,,,,,
14911,VOLKSWAGEN,5D HATCHBACK,6ADSG,8,5,2005,3,3,,,,,,,,,,
14912,VOLKSWAGEN,4D SEDAN,6ATip,6,5,2007,5,3,,,,,,,,,,
14914,VOLKSWAGEN,5D HATCHBACK,6ADSG,7,5,2007,0,0,,,,,,,,,,
14915,VOLKSWAGEN,5D HATCHBACK,5M,3,5,1995,0,0,,,,,,,,,,
14920,VOLKSWAGEN,4D SEDAN,6ADSG,4,5,2007,0,0,,,,,,,,,,
14921,VOLKSWAGEN,5D HATCHBACK,6ATip,2,5,2005,0,0,,,,,,,,,,
14922,VOLKSWAGEN,5D HATCHBACK,6M,4,5,2007,0,0,,,,,,,,,,
14923,VOLKSWAGEN,4D WAGON,5ATip,3,5,2002,0,0,,,,,,,,,,
14924,VOLKSWAGEN,5D HATCHBACK,6M,5,5,2006,0,0,,,,,,,,,,
14925,VOLKSWAGEN,5D HATCHBACK,5M,1,5,1999,0,0,,,,,,,,,,
14926,VOLKSWAGEN,5D HATCHBACK,4A,1,5,1998,0,0,,,,,,,,,,
14927,VOLKSWAGEN,4D VAN,6M,5,7,2006,0,0,,,,,,,,,,
14928,VOLKSWAGEN,5D HATCHBACK,5M,4,5,2002,0,0,,,,,,,,,,
14929,VOLKSWAGEN,4D WAGON,6ATip,7,5,2006,0,0,,,,,,,,,,
14930,VOLKSWAGEN,4D WAGON,6ADSG,5,5,2006,0,0,,,,,,,,,,
14940,VOLKSWAGEN,5D HATCHBACK,6M,1,5,2004,0,0,,,,,,,,,,
14941,VOLKSWAGEN,4D SEDAN,5M,2,5,2001,0,0,,,,,,,,,,
14942,VOLKSWAGEN,3D HATCHBACK,5M,2,5,2006,0,0,,,,,,,,,,
14943,VOLKSWAGEN,VAN,5M,7,2,2006,0,0,,,,,,,,,,
14944,VOLKSWAGEN,3D HATCHBACK,5M,1,5,2003,0,0,,,,,,,,,,
14945,VOLKSWAGEN,5D HATCHBACK,5M,7,5,2004,0,0,,,,,,,,,,
14946,VOLKSWAGEN,3D HATCHBACK,5M,8,5,2007,0,0,,,,,,,,,,
14947,VOLKSWAGEN,5D HATCHBACK,4A,1,5,1999,0,0,,,,,,,,,,
14948,VOLKSWAGEN,5D HATCHBACK,6ADSG,2,5,2006,0,0,,,,,,,,,,
14949,VOLKSWAGEN,5D HATCHBACK,5M,4,5,2000,0,0,,,,,,,,,,
14950,VOLKSWAGEN,5D HATCHBACK,5M,7,5,2005,0,0,,,,,,,,,,
14960,VOLKSWAGEN,4D SEDAN,6ATip,4,5,2006,0,0,,,,,,,,,,
14961,VOLKSWAGEN,4D WAGON,6ATip,5,5,2005,0,0,,,,,,,,,,
14962,VOLKSWAGEN,4D SEDAN,6ADSG,8,5,2006,0,0,,,,,,,,,,
14964,VOLKSWAGEN,5D HATCHBACK,5M,5,5,2002,0,0,,,,,,,,,,
14965,VOLKSWAGEN,4D WAGON,4A,7,8,2003,0,0,,,,,,,,,,
14966,VOLKSWAGEN,5D HATCHBACK,4A,1,5,2004,0,0,,,,,,,,,,
14967,VOLKSWAGEN,5D HATCHBACK,5M,2,5,1999,0,0,,,,,,,,,,
14969,VOLKSWAGEN,2D SEDAN,4M,1,4,1975,0,0,,,,,,,,,,
14984,ALFA ROMEO,2D COUPE,5M,5,4,1999,0,0,,,,,,,,,,
14985,ALFA ROMEO,4D SEDAN,6M,8,5,2002,0,0,,,,,,,,,,
15000,ALFA ROMEO,3D HATCHBACK,6M,5,5,2005,0,0,,,,,,,,,,
15001,ALFA ROMEO,4D SEDAN,5MSel,4,5,1999,0,0,,,,,,,,,,
15002,ALFA ROMEO,5D HATCHBACK,5M,3,5,2003,0,0,,,,,,,,,,
15003,MERCEDES-BENZ,2D CONVERTIBLE,5ATS,2,2,2004,0,0,,,,,,,,,,
15004,MERCEDES-BENZ,4D WAGON,5ATS,4,5,2002,0,0,,,,,,,,,,
15005,MERCEDES-BENZ,4D WAGON,5ATS,1,5,2002,0,0,,,,,,,,,,
15006,MERCEDES-BENZ,4D SEDAN,5ATS,7,5,2002,0,0,,,,,,,,,,
15007,MERCEDES-BENZ,4D WAGON,5ATS,3,5,2000,0,0,,,,,,,,,,
15008,MERCEDES-BENZ,2D CONVERTIBLE,5A,7,2,2000,0,0,,,,,,,,,,
15009,MERCEDES-BENZ,4D WAGON,5ATS,1,5,2004,0,0,,,,,,,,,,
15010,MERCEDES-BENZ,4D WAGON,4A,6,7,1991,0,0,,,,,,,,,,
15011,MERCEDES-BENZ,4D SEDAN,5A,4,5,2000,0,0,,,,,,,,,,
15020,MERCEDES-BENZ,4D SEDAN,4A,2,5,1982,0,0,,,,,,,,,,
15022,MERCEDES-BENZ,4D WAGON,5ATS,7,5,1999,0,0,,,,,,,,,,
15023,MERCEDES-BENZ,4D WAGON,5ATS,8,5,2003,0,0,,,,,,,,,,
15024,MERCEDES-BENZ,4D SEDAN,5ASeq,1,5,1999,0,0,,,,,,,,,,
15025,MERCEDES-BENZ,5D VAN,5A,4,5,2005,0,0,,,,,,,,,,
15026,MERCEDES-BENZ,4D SEDAN,4A,1,5,1993,0,0,,,,,,,,,,
15027,MERCEDES-BENZ,5D HATCHBACK,5MSeq,4,5,1999,0,0,,,,,,,,,,
15028,MERCEDES-BENZ,4D WAGON,5ATS,4,5,2001,0,0,,,,,,,,,,
15029,MERCEDES-BENZ,5D HATCHBACK,CVT7,3,5,2006,0,0,,,,,,,,,,
15030,MERCEDES-BENZ,4D SEDAN,4A,6,5,1986,0,0,,,,,,,,,,
15040,MERCEDES-BENZ,4D SEDAN,4A,2,5,1988,0,0,,,,,,,,,,
15041,MERCEDES-BENZ,4D SEDAN,4A,5,5,1992,0,0,,,,,,,,,,
15042,MERCEDES-BENZ,4D SEDAN,5ATSh,2,5,2006,0,0,,,,,,,,,,
15043,MERCEDES-BENZ,4D SEDAN,4A,6,5,1982,0,0,,,,,,,,,,
15044,MERCEDES-BENZ,5D HATCHBACK,5MSeq,5,5,2004,,0,,,,,,,,,,
15045,MERCEDES-BENZ,4D SEDAN,4A,4,5,1994,0,0,,,,,,,,,,
15046,MERCEDES-BENZ,5D HATCHBACK,5MSeq,1,5,2001,0,0,,,,,,,,,,
15047,MERCEDES-BENZ,2D CABRIOLET,5A,8,4,2000,0,0,,,,,,,,,,
15048,MERCEDES-BENZ,5D HATCHBACK,5MSeq,5,5,2000,0,0,,,,,,,,,,
15049,MERCEDES-BENZ,4D WAGON,5ATS,4,5,2001,0,0,,,,,,,,,,
15050,MERCEDES-BENZ,4D SEDAN,5ATSh,7,5,2002,0,0,,,,,,,,,,
15063,RENAULT,3D HATCHBACK,5M,1,5,2002,0,0,,,,,,,,,,
15066,RENAULT,5D HATCHBACK,5M,6,5,2006,0,0,,,,,,,,,,
15068,RENAULT,5D WAGON,4A,6,5,2003,0,0,,,,,,,,,,
15080,RENAULT,5D HATCHBACK,5M,2,5,1995,0,0,,,,,,,,,,
15081,RENAULT,4D SEDAN,4A,1,5,2004,0,0,,,,,,,,,,
15082,RENAULT,2D CABRIOLET,5M,6,4,2002,0,0,,,,,,,,,,
15083,VOLVO,4D SEDAN,5A,1,5,2006,0,0,,,,,,,,,,
15084,VOLVO,4D WAGON,5AG,6,5,2008,0,0,,,,,,,,,,
15085,VOLVO,4D SEDAN,4A,7,5,1989,0,0,,,,,,,,,,
15087,VOLVO,4D SEDAN,4A,6,5,1992,0,0,,,,,,,,,,
15088,VOLVO,4D WAGON,5AG,7,5,2005,0,0,,,,,,,,,,
15089,VOLVO,4D WAGON,5AG,5,5,2007,0,0,,,,,,,,,,
15100,VOLVO,4D SEDAN,5A,8,5,2003,0,0,,,,,,,,,,
15101,VOLVO,4D SEDAN,5A,7,5,2001,0,0,,,,,,,,,,
15102,VOLVO,4D SEDAN,4A,2,5,1994,0,0,,,,,,,,,,
15103,VOLVO,4D SEDAN,4AG,4,5,2001,0,0,,,,,,,,,,
15104,VOLVO,5D WAGON,4A,2,5,1997,0,0,,,,,,,,,,
15105,VOLVO,5D WAGON,4A,1,5,1997,0,0,,,,,,,,,,
15106,VOLVO,4D SEDAN,4A,3,5,1997,0,0,,,,,,,,,,
15107,VOLVO,4D WAGON,5AG,3,7,2006,0,0,,,,,,,,,,
15108,VOLVO,4D SEDAN,5M,4,5,1998,0,0,,,,,,,,,,
15109,VOLVO,4D HATCHBACK,4A,3,5,1994,0,0,,,,,,,,,,
15110,VOLVO,4D SEDAN,3A,1,5,1979,0,0,,,,,,,,,,
15119,VOLVO,4D HATCHBACK,4A,2,5,1996,0,0,,,,,,,,,,
15121,VOLVO,4D SEDAN,5AG,4,5,2006,0,0,,,,,,,,,,
15122,NISSAN,2D COUPE,6M,4,4,2002,0,0,,,,,,,,,,
15123,NISSAN,2D COUPE,5M,1,4,1994,0,0,,,,,,,,,,
15124,NISSAN,2D COUPE,5M,4,4,1996,0,0,,,,,,,,,,
15125,NISSAN,2D COUPE,6M,6,4,2002,0,0,,,,,,,,,,
15126,NISSAN,2D COUPE,6M,3,4,2002,0,0,,,,,,,,,,
15127,NISSAN,2D COUPE,5M,3,4,1998,0,0,,,,,,,,,,
15128,NISSAN,2D COUPE,6M,1,4,2001,0,0,,,,,,,,,,
15129,NISSAN,2D COUPE,5M,6,4,1998,0,0,,,,,,,,,,
15130,PEUGEOT,3D HATCHBACK,5M,7,5,1990,0,0,,,,,,,,,,
15140,PEUGEOT,4D SEDAN,5M,7,5,1997,0,0,,,,,,,,,,
15142,PEUGEOT,4D SEDAN,5M,4,5,1993,0,0,,,,,,,,,,
15143,PEUGEOT,5D HATCHBACK,5M,8,5,2000,0,0,,,,,,,,,,
15144,PEUGEOT,5D HATCHBACK,5M,7,5,2001,0,0,,,,,,,,,,
15146,PEUGEOT,3D HATCHBACK,5M,2,5,2004,0,0,,,,,,,,,,
15147,PEUGEOT,2D COUPE,5M,1,4,2004,0,0,,,,,,,,,,
15148,PEUGEOT,2D CABRIOLET,5M,6,4,2005,0,0,,,,,,,,,,
15149,PEUGEOT,5D HATCHBACK,5M,8,5,2003,0,0,,,,,,,,,,
15150,PEUGEOT,5D HATCHBACK,5M,3,5,2002,0,0,,,,,,,,,,
15160,PEUGEOT,4D SEDAN,5M,8,5,1992,0,0,,,,,,,,,,
15161,PEUGEOT,5D HATCHBACK,6M,3,5,2006,0,0,,,,,,,,,,
15162,PEUGEOT,5D HATCHBACK,5M,3,5,2000,0,0,,,,,,,,,,
15163,PEUGEOT,5D HATCHBACK,5M,6,5,2005,0,0,,,,,,,,,,
15165,PEUGEOT,2D CABRIOLET,4ATip,6,4,2006,0,0,,,,,,,,,,
15166,PEUGEOT,5D HATCHBACK,4ATip,4,5,2004,0,0,,,,,,,,,,
15167,PEUGEOT,5D HATCHBACK,5M,4,5,2006,0,0,,,,,,,,,,
15168,PEUGEOT,5D HATCHBACK,5M,6,5,2004,0,0,,,,,,,,,,
15169,PEUGEOT,4D WAGON,6M,4,5,2006,0,0,,,,,,,,,,
15181,PEUGEOT,3D HATCHBACK,5M,3,5,2003,0,0,,,,,,,,,,
15184,EUNOS,4D SEDAN,4A,1,5,1996,0,0,,,,,,,,,,
15186,EUNOS,2D COUPE,5M,2,4,1996,0,0,,,,,,,,,,
15199,CHRYSLER,4D SEDAN,3A,4,5,1979,0,0,,,,,,,,,,
15200,CHRYSLER,4D SEDAN,5A,8,5,2006,0,0,,,,,,,,,,
15201,CHRYSLER,4D WAGON,4A,7,7,2002,0,0,,,,,,,,,,
15202,CHRYSLER,2D CONVERTIBLE,5ASeq,8,2,2005,0,0,,,,,,,,,,
15203,CHRYSLER,4D WAGON,4A,1,7,1999,0,0,,,,,,,,,,
15204,CHRYSLER,5D HATCHBACK,4A,6,5,2005,0,0,,,,,,,,,,
15205,CHRYSLER,5D HATCHBACK,5M,7,5,2001,0,0,,,,,,,,,,
15207,CHRYSLER,4D SEDAN,5A,5,5,2006,0,0,,,,,,,,,,
15208,CHRYSLER,4D WAGON,4A,8,7,2004,0,0,,,,,,,,,,
15209,CHRYSLER,4D SEDAN,3A,7,5,1997,0,0,,,,,,,,,,
15210,CHRYSLER,5D HATCHBACK,4A,7,5,2004,0,0,,,,,,,,,,
15220,CHRYSLER,4D WAGON,4A,8,7,2004,0,0,,,,,,,,,,
15221,CHRYSLER,5D HATCHBACK,4A,4,5,2004,0,0,,,,,,,,,,
15222,CHRYSLER,4D WAGON,4A,3,7,2001,0,0,,,,,,,,,,
15223,MAZDA,4D SEDAN,5M,8,5,1999,0,0,,,,,,,,,,
15224,MAZDA,5D HATCHBACK,5M,3,5,1997,0,0,,,,,,,,,,
15225,MAZDA,5D HATCHBACK,5M,2,5,2001,0,0,,,,,,,,,,
15226,MAZDA,4D WAGON,5M,8,4,1983,0,0,,,,,,,,,,
15227,MAZDA,4D SEDAN,5M,2,5,2000,0,0,,,,,,,,,,
15228,MAZDA,4D SEDAN,5M,2,5,1997,0,0,,,,,,,,,,
15229,MAZDA,5D HATCHBACK,4A,8,5,1995,0,0,,,,,,,,,,
15230,MAZDA,4D SEDAN,5M,8,5,1998,0,0,,,,,,,,,,
15240,MAZDA,4D SEDAN,5M,7,5,2000,0,0,,,,,,,,,,
15241,MAZDA,5D HATCHBACK,5M,3,5,1993,0,0,,,,,,,,,,
15242,MAZDA,5D HATCHBACK,5M,3,5,2000,0,0,,,,,,,,,,
15243,MAZDA,5D HATCHBACK,5M,2,5,1996,0,0,,,,,,,,,,
15244,MAZDA,5D HATCHBACK,4A,7,5,1998,0,0,,,,,,,,,,
15245,MAZDA,5D HATCHBACK,4A,5,5,1989,0,0,,,,,,,,,,
15246,MAZDA,4D SEDAN,4A,2,5,2003,0,0,,,,,,,,,,
15247,MAZDA,5D HATCHBACK,4A,7,5,2003,0,0,,,,,,,,,,
15248,MAZDA,5D HATCHBACK,3A,1,5,1988,0,0,,,,,,,,,,
15249,MAZDA,5D HATCHBACK,5M,3,5,1998,0,0,,,,,,,,,,
15250,MAZDA,5D HATCHBACK,5M,6,5,1994,0,0,,,,,,,,,,
15259,MAZDA,5D HATCHBACK,5M,4,5,1985,0,0,,,,,,,,,,
15260,MAZDA,5D HATCHBACK,5M,4,5,2002,0,0,,,,,,,,,,
15261,MAZDA,4D SEDAN,5M,6,5,2002,0,0,,,,,,,,,,
15263,MAZDA,4D SEDAN,5M,3,5,2003,0,0,,,,,,,,,,
15264,MAZDA,4D SEDAN,5M,8,5,2002,0,0,,,,,,,,,,
15280,MITSUBISHI,4D SEDAN,5ASPM,4,5,2005,0,0,,,,,,,,,,
15282,TOYOTA,4D WAGON,5M4x4,8,5,1989,0,0,,,,,,,,,,
15284,TOYOTA,4D WAGON,4A4x4,8,5,1992,0,0,,,,,,,,,,
15297,MAZDA,5D HATCHBACK,5M,7,5,2000,0,0,,,,,,,,,,
15300,MAZDA,4D SEDAN,4A,8,5,2002,0,0,,,,,,,,,,
15301,MAZDA,5D HATCHBACK,4A,5,5,1999,0,0,,,,,,,,,,
15302,MAZDA,4D SEDAN,4A,3,5,1994,0,0,,,,,,,,,,
15303,MAZDA,4D SEDAN,5M,8,5,1998,0,0,,,,,,,,,,
15304,MAZDA,4D SEDAN,4A,5,5,1999,0,0,,,,,,,,,,
15305,MAZDA,5D HATCHBACK,4A,2,5,2001,0,0,,,,,,,,,,
15306,MAZDA,4D SEDAN,5M,8,5,2000,0,0,,,,,,,,,,
15307,AUDI,4D SEDAN,CVTM,6,5,2002,0,0,,,,,,,,,,
15308,AUDI,5D HATCHBACK,6ADSG,6,5,2005,0,0,,,,,,,,,,
15309,AUDI,4D SEDAN,5M,1,5,1990,0,0,,,,,,,,,,
15310,AUDI,4D SEDAN,CVTM,2,5,2007,0,0,,,,,,,,,,
15316,AUDI,2D COUPE,5M,2,4,1999,0,0,,,,,,,,,,
15317,AUDI,4D SEDAN,4A,3,5,1996,0,0,,,,,,,,,,
15321,AUDI,4D WAGON,CVTM6,7,5,2003,0,0,,,,,,,,,,
15322,AUDI,4D WAGON,5ATip,7,5,2001,0,0,,,,,,,,,,
15323,AUDI,5D HATCHBACK,5M,7,5,2003,0,0,,,,,,,,,,
15324,AUDI,3D HATCHBACK,6M,6,5,2000,0,0,,,,,,,,,,
15325,AUDI,5D HATCHBACK,6ADSG,7,5,2006,0,,,,,,,,,,,
15326,AUDI,3D HATCHBACK,4A,3,5,1999,0,,,,,,,,,,,
15327,AUDI,5D HATCHBACK,5M,4,5,2004,0,,,,,,,,,,,
15328,AUDI,2D ROADSTER,6M,6,2,2004,0,,,,,,,,,,,
15329,AUDI,5D HATCHBACK,5M,2,5,2002,0,,,,,,,,,,,
15330,AUDI,4D SEDAN,CVTM6,1,5,2003,0,,,,,,,,,,,
15340,SAAB,4D WAGON,5A,1,5,2007,0,,,,,,,,,,,
15341,SAAB,4D SEDAN,4A,1,5,2000,0,,,,,,,,,,,
15342,SAAB,4D SEDAN,5A,7,5,2004,0,,,,,,,,,,,
15343,SAAB,5D HATCHBACK,4A,1,5,2002,0,,,,,,,,,,,
15344,SAAB,4D SEDAN,5AST,7,5,2004,0,,,,,,,,,,,
15345,SAAB,5D HATCHBACK,4A,1,5,1996,0,,,,,,,,,,,
15346,SAAB,2D CONVERTIBLE,4A,4,5,2003,0,,,,,,,,,,,
15347,SAAB,4D HATCHBACK,4A,4,5,1998,0,,,,,,,,,,,
15348,SAAB,5D HATCHBACK,5M,2,5,1994,0,,,,,,,,,,,
15349,SAAB,4D SEDAN,4A,1,5,2001,0,,,,,,,,,,,
15350,SAAB,2D CONVERTIBLE,5ASEN,6,4,2005,0,,,,,,,,,,,
15357,SAAB,4D HATCHBACK,4A,5,5,1994,0,,,,,,,,,,,
15360,SAAB,2D CONVERTIBLE,5M,2,5,2000,0,,,,,,,,,,,
15361,SAAB,2D CONVERTIBLE,5M,1,4,2001,0,,,,,,,,,,,
15362,SAAB,4D SEDAN,6M,3,5,2004,0,,,,,,,,,,,
15363,SAAB,4D HATCHBACK,4A,4,5,1997,0,,,,,,,,,,,
15364,SAAB,4D HATCHBACK,4A,6,5,1996,0,,,,,,,,,,,
15365,SAAB,2D CONVERTIBLE,4A,6,4,2000,0,,,,,,,,,,,
15366,SAAB,5D SEDAN,4A,1,5,1999,0,,,,,,,,,,,
15367,SAAB,4D SEDAN,4A,3,5,1993,0,,,,,,,,,,,
15368,MAZDA,4D SEDAN,5M,7,5,1987,0,,,,,,,,,,,
15369,MAZDA,2D HARDTOP,4A,2,5,1986,0,,,,,,,,,,,
15400,HONDA,4D SEDAN,5A,1,5,2005,0,,,,,,,,,,,
